Designator,Footprint,Quantity,Value,LCSC Part #
"_3, _2, ",,3,,
BUCK1,Buck-Converter,1,BUCK_3V3,
Battery1,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,BATT,
DIP1,SW_DIP_SPSTx04_Slide_9.78x12.34mm_W7.62mm_P2.54mm,1,DIP,
IMU1,PinHeader_1x10_P2.54mm_Vertical,1,IMU,
IR1,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,1,IR1,
IR2,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,1,IR2,
IR3,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,1,IR3,
KS1,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,1,KS,
LS1,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,1,LS1,
LS2,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,1,LS2,
MA1,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,1,MA,
MB1,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,1,MB,
MotorA1,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,MA PWR,
MotorB1,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,MB PWR,
"R1, R2, R3, R4, R5",0603,5,10k,
"R6, R7",0603,2,1Ok,
SW1,tht,1,SW1,
SW2,tht,1,SW2,
U1,XCVR_ESP32-S3-DEVKITC-1-N8R2,1,ESP32-S3-DEVKITC-1-N8R2,
