Designator,Footprint,Quantity,Value,LCSC Part #
"_4, _3, _2, ",,4,,
BUCK1,Buck-Converter,1,BUCK_24V,
BUCK2,Buck-Converter,1,BUCK_3V3,
Boost1,PinHeader_1x03_P2.54mm_Vertical,1,BOOST,
DIP1,SW_DIP_SPSTx04_Slide_9.78x12.34mm_W7.62mm_P2.54mm,1,DIP,
DRIVER1,"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",1,DRIVER,
EA1,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,1,EA,
EB1,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,1,EB,
HALL1,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,1,HALL,
IMU1,PinHeader_1x10_P2.54mm_Vertical,1,IMU,
IR1,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,1,IR1,
IR2,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,1,IR2,
IR3,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,1,IR3,
IR4,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,1,IR4,
IR5,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,1,IR5,
IR6_NPN1,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,1,IR6,
IR7,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,1,IR7_NPN,
IR8,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,1,IR8_PNP,
IR9,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,1,IR9_PNP,
KS1,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,1,KS,
LS1,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,1,LS1,
LS2,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,1,LS2,
LS3,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,1,LS3,
LS4,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,1,LS4,
MA1,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,1,MA,
MB1,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,1,MB,
PWR1,"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",1,PWR,
R1,0603,1,R1,
R10,0603,1,R10,
R11,0603,1,R11,
R12,0603,1,R12,
R13,0603,1,R13,
R14,0603,1,R14,
R15,0603,1,R15,
"R16, R17, R18, R19",0603,4,10k,
R2,0603,1,R2,
R3,0603,1,R3,
R4,0603,1,R4,
R5,0603,1,R5,
R6,0603,1,R6,
R7,0603,1,R7,
R8,0603,1,R8,
R9,0603,1,R9,
SW1,tht,1,SW1,
SW2,tht,1,SW2,
U1,XCVR_ESP32-S3-DEVKITC-1-N8R2,1,ESP32-S3-DEVKITC-1-N8R2,
