Designator,Mid X,Mid Y,Rotation,Layer
_4,193.005,-56.725,0.0,top
_3,101.005,-148.725,0.0,top
_2,101.005,-56.725,0.0,top
,193.005,-148.725,0.0,top
BUCK1,109.72,-67.835,270.0,top
BUCK2,132.48,-67.835,270.0,top
Boost1,184.505,-59.28,180.0,top
DIP1,126.788333,-124.908333,90.0,top
DRIVER1,144.905,-58.505,180.0,top
EA1,192.255,-70.635,270.0,top
EB1,192.255,-81.665,270.0,top
HALL1,101.83,-114.83,90.0,top
IMU1,193.505,-126.66,0.0,top
IR1,111.48,-146.265,90.0,top
IR2,120.23,-146.265,90.0,top
IR3,128.98,-146.265,90.0,top
IR4,137.73,-146.265,90.0,top
IR5,146.48,-146.265,90.0,top
IR6_NPN1,155.23,-146.265,90.0,top
IR7,163.96,-146.265,90.0,top
IR8,172.73,-146.265,90.0,top
IR9,181.48,-146.265,90.0,top
KS1,101.83,-125.83,90.0,top
LS1,192.255,-92.695,270.0,top
LS2,192.255,-103.725,270.0,top
LS3,101.78,-103.58,90.0,top
LS4,101.73,-92.53,90.0,top
MA1,102.08,-70.13,90.0,top
MB1,101.88,-81.23,90.0,top
PWR1,132.5,-58.47,180.0,top
R1,113.1175,-137.65,180.0,bottom
R10,184.125,-138.465,270.0,bottom
R11,180.955,-138.465,270.0,bottom
R12,186.5425,-70.635,0.0,bottom
R13,186.5425,-68.92,180.0,bottom
R14,186.5425,-81.68,0.0,bottom
R15,186.5425,-79.6,180.0,bottom
R16,130.608333,-116.963333,90.0,top
R17,128.068333,-116.963333,90.0,top
R18,125.528333,-116.963333,90.0,top
R19,122.988333,-116.963333,90.0,top
R2,121.955,-137.6525,180.0,bottom
R3,130.705,-137.6525,180.0,bottom
R4,139.455,-137.6525,180.0,bottom
R5,148.205,-137.6525,180.0,bottom
R6,156.955,-137.6525,180.0,bottom
R7,181.4425,-129.815,180.0,bottom
R8,175.375,-138.615,270.0,bottom
R9,172.205,-138.565,270.0,bottom
SW1,115.38,-61.6575,180.0,top
SW2,115.18,-56.1575,180.0,top
U1,168.605,-90.065,180.0,top
